id,page_key,element_key,title,body,sort_order,min_role,created_by,created_at,updated_at
6,incidents,enable_sound,Enable Sound,If enabled in your admin panel and properly configured the browser will alert audibly to new/closed incidents with sound and Text to Speech. ,1,,1,2026-02-07 23:24:05.101636+00,2026-02-08 01:57:57.113553+00
5,incidents,enable_help,Help,Enables and shows or Disables and hides this help sidebar. ,2,,1,2026-02-07 23:22:09.369177+00,2026-02-08 01:58:09.709133+00
7,incidents,personnel_login,Personnel Login,"**Personnel Activation Levels**

All personnel in CADReport are added by department officers and admins. Once added, a member's name is available for assignment to incidents, apparatus units, details, and roll calls — and will appear in reports. No activation or registration is required for this.
Activation is only needed for personnel who want to log in and use the system themselves. 
There are three levels:

**Unregistered** — The default state for all personnel added to the system. These members can be assigned to anything and appear in all reports, but they cannot log in or interact with the software directly.

**Registered – Pending Approval** — A member who has validated their email and created a password, awaiting officer or admin approval. While pending, they can complete one incident record if a Registered – Active member is not available to do so.

**Registered – Active** — Fully approved members who can log in, edit incident records, manage roll calls, and interact with the system. All edits are tracked through audit logging to maintain data integrity.",3,,1,2026-02-07 23:51:28.174221+00,2026-02-08 01:58:23.433488+00
9,incidents,navigation,Main Menu,The main menu consists of pages in the software that your access level determines are available to you.,4,,1,2026-02-08 00:06:36.720215+00,2026-02-08 01:58:30.602051+00
2,incidents,websocket_status,Live,"""Live"" indicates the browser has constant connection to the database, any new calls will be seen immediately without a manual or timed page refresh. ",10,,1,2026-02-07 22:40:30.24275+00,2026-02-08 01:58:51.758087+00
10,incidents,new_record_menu,New Record button,When logged to a Personnel Account that is registered You can create a manually generated incident or attendance record. The button will drop down and show you the options for each selection. ,11,,1,2026-02-08 00:11:13.373929+00,2026-02-08 01:58:59.78861+00
1,incidents,category_filters,Incident category filters,"Filters for changing the view of incidents, you can change category and year.  This view resets to the default in 15 minutes without activity. ",12,,1,2026-02-07 22:36:20.771311+00,2026-02-08 02:12:42.656835+00
11,incidents,action_bar,Actions Bar,"Options available for the incident. All personnel may view and print but must be logged in to save changes.  Options commensurate with your role, Officer and Admin will have further controls. ",20,,1,2026-02-08 00:15:39.646537+00,2026-02-08 01:59:59.596298+00
13,incidents,btn_print,Print Button,Print a PDF of your incident using a template that your admin has designed in the admin section of the software,21,,1,2026-02-08 00:28:41.648551+00,2026-02-08 02:00:06.705524+00
14,incidents,btn_view_cad,View CAD,This will be the original unformatted cad that was received to created this incident. These can usually also be printed via the dialog that appears when you click this button,22,,1,2026-02-08 00:30:03.575654+00,2026-02-08 02:00:12.908583+00
15,incidents,btn_comments,Comments,Comments -  categorize the Incident Comments that come with the incident at close to train the AI in the software where a comment originated and in the future will be able to quickly add tactical and operational timestamps. There are further configurations for this in the admin section of the software. ,23,,1,2026-02-08 00:33:25.735327+00,2026-02-08 02:00:19.464833+00
16,incidents,btn_reparse,Reparse,"The software parses incidents during initial reception, any updates and at close (even reopen incident where applicable) 

Once the data is in the system it is manipulated by your department for accuracy - if data becomes corrupted the incident can be parsed back to the original latest cad receipt. ",24,,1,2026-02-08 00:40:04.934142+00,2026-02-08 02:00:41.072888+00
12,incidents,audit_trail,Incident Audit Log,All changes to an incident since creation are kept here,25,,1,2026-02-08 00:26:30.153168+00,2026-02-08 02:01:06.162763+00
17,incidents,internal_incident_number,Internal incident number,"Incident number generated by the software automatically. Can be edited by admin.  

The incident number cooresponds to the category, Fire=F(YR) and EMS = E(YR)  and Detail incidents if applicable D(YR)

Should the incidents ever get out of sequence they can be reordered in the Admin panel. Logged in Officers and Admins will be notified in the ""review tasks"" area when a incident is not in sequence and should be rectified before any further reporting of incident data. ",30,,1,2026-02-08 00:45:58.249878+00,2026-02-08 02:01:19.917232+00
18,incidents,call_category,Category,"Selectable category to move incidents between different categories. Some instances start as one type and end as another, some end as two separate incidents. Some incidents should not have been incidents at all but still need tracked and these can be moved to ""detail"" if not a reportable incident. 

Not to be confused with duplicate - available to officers and admin. ",31,,1,2026-02-08 00:51:44.730317+00,2026-02-08 02:02:16.109664+00
19,incidents,cad_event_number,Dispatch Incident number,Your dispatches internal incident number. Admins can unlock this number to allow editing and to access other advanced options like Delete and duplicate. ,33,,1,2026-02-08 00:56:03.904467+00,2026-02-08 02:02:35.20202+00
20,incidents,incident_date,Incident Date,The incident date retrieved from the dispatch cad data.,34,,1,2026-02-08 00:59:09.722705+00,2026-02-08 02:02:46.177472+00
